100,-nan,-nan,-nan
1e+11,1,2.34034e-09,3.02551e-09
2e+11,1,3.99556e-09,4.72411e-09
3e+11,1,1.46377e-07,1.6717e-07
4e+11,1,1.65691e-09,1.88799e-09
5e+11,1,5.07076e-10,5.67557e-10
6e+11,1,6.58935e-10,7.47513e-10
7e+11,1,2.35349e-08,2.65724e-08
8e+11,1,5.84887e-11,6.82909e-11
9e+11,1,3.11963e-10,3.56661e-10
1e+12,1,5.98896e-11,6.93419e-11
1.1e+12,1,8.54469e-09,9.72148e-09
1.2e+12,1,8.61564e-11,9.73765e-11
1.3e+12,1,3.28975e-11,3.797e-11
1.4e+12,1,8.54656e-12,9.56995e-12
1.5e+12,1,4.84439e-09,5.48969e-09
1.6e+12,1,3.66236e-11,4.20141e-11
1.7e+12,1,8.90526e-11,1.01344e-10
1.8e+12,1,2.97567e-11,3.4067e-11
1.9e+12,1,6.69679e-11,7.64343e-11
2e+12,1,2.77699e-11,3.14681e-11
2.1e+12,1,5.59932e-11,6.37113e-11
2.2e+12,1,3.92033e-11,4.45448e-11
2.3e+12,1,1.58695e-11,1.81856e-11
2.4e+12,1,1.44865e-11,1.64132e-11
2.5e+12,1,4.15453e-11,4.72969e-11
2.6e+12,1,2.59014e-12,2.92395e-12
2.7e+12,1,3.02951e-11,3.44595e-11
2.8e+12,1,9.15779e-12,1.04792e-11
2.9e+12,1,1.30493e-11,1.48111e-11
3e+12,1,6.19903e-12,7.01754e-12
3.1e+12,1,2.19688e-11,2.50692e-11
3.2e+12,1,1.66799e-11,1.89615e-11
3.3e+12,1,2.47707e-11,2.82166e-11
3.4e+12,1,4.5225e-12,5.17876e-12
3.5e+12,1,1.79783e-11,2.04563e-11
3.6e+12,1,1.5694e-11,1.79068e-11
3.7e+12,1,1.21844e-12,1.39668e-12
3.8e+12,1,1.81953e-11,2.07398e-11
3.9e+12,1,9.56635e-12,1.09227e-11
4e+12,1,5.61162e-12,6.3742e-12
4.1e+12,1,1.45589e-11,1.65994e-11
4.2e+12,1,7.73073e-12,8.79213e-12
4.3e+12,1,5.80004e-13,6.58996e-13
4.4e+12,1,1.32228e-11,1.50726e-11
4.5e+12,1,2.59029e-12,2.9624e-12
4.6e+12,1,5.46815e-13,6.20758e-13
4.7e+12,1,1.06093e-11,1.20966e-11
4.8e+12,1,2.58854e-12,2.95901e-12
4.9e+12,1,4.43765e-12,5.06742e-12
5e+12,1,1.57901e-12,1.79168e-12
5.1e+12,1,9.84984e-12,1.12166e-11
5.2e+12,1,2.25588e-12,2.57602e-12
5.3e+12,1,4.60122e-12,5.25156e-12
5.4e+12,1,7.55631e-12,8.60472e-12
5.5e+12,1,4.38334e-13,4.97568e-13
5.6e+12,1,8.62511e-12,9.82467e-12
5.7e+12,1,1.68453e-12,1.92491e-12
5.8e+12,1,7.33206e-12,8.3576e-12
5.9e+12,1,6.45149e-12,7.34456e-12
6e+12,1,6.31178e-12,7.18586e-12
6.1e+12,1,4.02699e-12,4.59411e-12
6.2e+12,1,4.96884e-12,5.65526e-12
6.3e+12,1,5.68898e-12,6.48566e-12
6.4e+12,1,6.64451e-12,7.57025e-12
6.5e+12,1,2.50593e-12,2.84988e-12
6.6e+12,1,4.93839e-12,5.62207e-12
6.7e+12,1,1.9494e-12,2.22522e-12
6.8e+12,1,4.39261e-12,5.00032e-12
6.9e+12,1,4.28868e-12,4.88978e-12
7e+12,1,5.42962e-12,6.18458e-12
7.1e+12,1,2.43841e-13,2.77115e-13
7.2e+12,1,1.77942e-12,2.0237e-12
7.3e+12,1,1.11457e-13,1.2698e-13
7.4e+12,1,7.08566e-13,8.05065e-13
7.5e+12,1,4.45185e-12,5.07237e-12
7.6e+12,1,4.68496e-12,5.33708e-12
7.7e+12,1,8.88244e-13,1.00964e-12
7.8e+12,1,3.82139e-12,4.35147e-12
7.9e+12,1,1.47382e-12,1.67639e-12
8e+12,1,2.16325e-12,2.46732e-12
8.1e+12,1,2.78267e-13,3.17932e-13
8.2e+12,1,4.9467e-13,5.65014e-13
8.3e+12,1,3.80188e-12,4.33235e-12
8.4e+12,1,3.20939e-12,3.65816e-12
8.5e+12,1,1.22964e-12,1.4033e-12
8.6e+12,1,4.98033e-13,5.6815e-13
8.7e+12,1,1.58805e-13,1.8044e-13
8.8e+12,1,3.3781e-13,3.85844e-13
8.9e+12,1,3.42994e-12,3.90782e-12
9e+12,1,1.91508e-12,2.1837e-12
9.1e+12,1,7.33772e-13,8.34472e-13
9.2e+12,1,9.43828e-13,1.07689e-12
9.3e+12,1,3.16539e-13,3.61488e-13
9.4e+12,1,2.99429e-12,3.41072e-12
9.5e+12,1,1.49131e-13,1.70253e-13
9.6e+12,1,3.90231e-13,4.4362e-13
9.7e+12,1,6.74558e-13,7.67381e-13
9.8e+12,1,1.72025e-12,1.96128e-12
9.9e+12,1,1.22982e-13,1.4036e-13
