10,-nan,-nan,-nan
13.1826,1.65544e+29,1.89223e+29,2.14737e+29
17.378,3.99452e+31,4.5659e+31,5.18153e+31
22.9087,-nan,-nan,-nan
30.1995,4.93519e+34,5.64111e+34,6.40171e+34
39.8107,-nan,-nan,-nan
52.4807,1.18368e+37,1.35298e+37,1.53541e+37
69.1831,1.25363e+38,1.43292e+38,1.62613e+38
91.2011,5.91443e+38,6.76027e+38,7.67179e+38
120.226,5.57692e+38,6.37442e+38,7.23394e+38
158.489,-nan,-nan,-nan
208.93,-nan,-nan,-nan
275.423,2.34588e+32,2.68121e+32,3.04276e+32
363.078,-nan,-nan,-nan
478.63,3.54148e+24,4.04743e+24,4.59327e+24
630.957,1.21994e+305,2.43818e+306,3.14156e+306
831.764,7.89566e+16,9.02256e+16,1.02396e+17
1096.48,4.26139e+13,4.86915e+13,5.52602e+13
1445.44,-nan,-nan,-nan
1905.46,3.01276e+08,3.4415e+08,3.90595e+08
2511.89,-nan,-nan,-nan
3311.31,2.55037e+192,5.09721e+193,6.56768e+193
4365.16,-nan,-nan,-nan
5754.4,609.521,695.382,789.401
7585.78,101.991,116.276,132.013
10000,26.1063,29.7297,33.76
13182.6,inf,inf,inf
17378,3.69892,4.20831,4.77959
22908.7,inf,inf,inf
30199.5,1.32469,1.49595,1.70122
39810.7,0.789265,0.891105,1.01342
52480.7,0.509919,0.571015,0.650322
69183.1,0.386463,0.429077,0.489401
91201.1,0.327913,0.370668,0.421459
120226,0.293903,0.350303,0.394691
158489,0.306125,0.324342,0.372391
208930,0.308568,0.319453,0.358575
275423,0.404396,0.26416,0.314278
363078,0.135924,0.360116,0.493188
478630,0.0694529,0.402922,0.522805
630957,0.279934,0.501231,0.216882
831764,0.50438,0.184321,0.310494
1.09648e+06,0.701121,0.19171,0.106806
1.44544e+06,0.661296,0.115494,0.223019
1.90546e+06,0.830746,0.125454,0.0420689
2.51189e+06,0.557824,0.30428,0.13326
3.31131e+06,0.238652,0.3148,0.441306
4.36516e+06,0.019216,0.43356,0.543873
5.7544e+06,0.000972247,0.428755,0.569008
7.58578e+06,0.0290899,0.419336,0.551153
1e+07,0.0119226,0.428887,0.559051
1.31826e+07,0.0123662,0.430429,0.557159
1.7378e+07,0.0254248,0.426718,0.547842
2.29087e+07,0.0221136,0.426915,0.550967
3.01995e+07,0.0256167,0.42589,0.548492
3.98107e+07,0.0240724,0.426454,0.549473
5.24807e+07,0.0213797,0.427554,0.551066
6.91831e+07,0.0227771,0.427063,0.55016
9.12011e+07,0.0221411,0.427284,0.550575
1.20226e+08,0.0220529,0.42735,0.550597
1.58489e+08,0.0220732,0.427327,0.5506
2.0893e+08,0.0231202,0.426888,0.549992
2.75423e+08,0.0158762,0.430018,0.554106
3.63078e+08,0.0351416,0.421698,0.54316
4.7863e+08,0.0276938,0.424748,0.547558
6.30957e+08,0.07553,0.404127,0.520343
8.31764e+08,0.0883065,0.398214,0.513479
1.09648e+09,0.194225,0.351983,0.453792
1.44544e+09,0.363657,0.278129,0.358214
1.90546e+09,0.467039,0.232922,0.30004
2.51189e+09,0.287349,0.311332,0.401319
3.31131e+09,0.379747,0.270987,0.349266
4.36516e+09,0.608787,0.170888,0.220325
5.7544e+09,0.696366,0.132714,0.17092
7.58578e+09,0.832953,0.0729827,0.094064
1e+10,0.707411,0.127827,0.164762
1.31826e+10,0.734935,0.115818,0.149247
1.7378e+10,0.827159,0.0755287,0.0973118
2.29087e+10,0.901641,0.0429841,0.055375
3.01995e+10,0.946828,0.0232376,0.0299341
3.98107e+10,0.97165,0.01239,0.0159597
5.24807e+10,0.984845,0.0066233,0.00853125
6.91831e+10,0.991825,0.00357274,0.00460181
9.12011e+10,0.995543,0.00194801,0.00250906
1.20226e+11,0.997545,0.00107313,0.00138218
1.58489e+11,0.998635,0.000596511,0.000768296
2.0893e+11,0.999236,0.000334071,0.000430275
2.75423e+11,0.999569,0.00018823,0.000242434
3.63078e+11,0.999756,0.000106568,0.000137256
4.7863e+11,0.999861,6.0562e-05,7.80013e-05
6.30957e+11,0.999921,3.45179e-05,4.44574e-05
8.31764e+11,0.999955,1.97182e-05,2.53961e-05
1.09648e+12,0.999974,1.12836e-05,1.45327e-05
1.44544e+12,0.999985,6.46548e-06,8.32722e-06
1.90546e+12,0.999992,3.70849e-06,4.77634e-06
2.51189e+12,0.999995,2.12877e-06,2.74175e-06
3.31131e+12,0.999997,1.2227e-06,1.57477e-06
4.36516e+12,0.999998,7.02591e-07,9.049e-07
5.7544e+12,0.999999,4.03864e-07,5.20155e-07
7.58578e+12,0.999999,2.32209e-07,2.99073e-07
